"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 06월 10일","84.15","84.80","84.86","83.58","72.98K","-0.09%"
"2021년 06월 09일","84.23","85.20","85.78","83.91","115.26K","-1.24%"
"2021년 06월 08일","85.29","85.58","85.58","84.36","310.37K","-1.99%"
"2021년 06월 07일","87.02","87.16","87.44","86.25","137.94K","-1.28%"
"2021년 06월 04일","88.15","86.08","88.33","86.08","434.09K","2.80%"
"2021년 06월 03일","85.75","86.39","86.39","85.40","159.87K","-1.24%"
"2021년 06월 02일","86.83","85.74","86.83","85.50","167.01K","1.39%"
"2021년 06월 01일","85.64","84.60","85.74","84.32","255.46K","2.59%"
"2021년 05월 28일","83.48","83.62","83.83","82.95","119.10K","1.36%"
"2021년 05월 27일","82.36","81.07","82.57","81.01","270.42K","2.07%"
"2021년 05월 26일","80.69","78.93","80.77","78.86","290.60K","2.55%"
"2021년 05월 25일","78.68","79.14","79.70","78.60","78.43K","0.19%"
"2021년 05월 24일","78.53","77.95","78.75","77.86","124.48K","0.74%"
"2021년 05월 21일","77.95","78.61","78.85","77.90","99.44K","-0.62%"
"2021년 05월 20일","78.44","78.52","79.02","78.11","88.53K","-0.58%"
"2021년 05월 19일","78.90","78.00","79.43","78.00","104.66K","-1.85%"
"2021년 05월 18일","80.39","80.54","80.92","80.11","202.52K","1.39%"
"2021년 05월 17일","79.29","79.03","79.38","78.18","120.58K","1.21%"
"2021년 05월 14일","78.34","78.17","78.80","77.18","132.49K","0.63%"
"2021년 05월 13일","77.85","78.09","78.79","77.01","411.05K","-2.10%"
"2021년 05월 12일","79.52","82.98","82.98","79.11","524.26K","-4.69%"
"2021년 05월 11일","83.43","82.61","83.76","81.44","304.58K","-2.49%"
"2021년 05월 10일","85.56","86.46","86.68","85.25","265.36K","1.24%"
"2021년 05월 07일","84.51","83.46","84.73","83.00","283.28K","2.32%"
"2021년 05월 06일","82.59","83.43","83.49","81.80","266.83K","-0.01%"
"2021년 05월 05일","82.60","81.35","83.28","81.30","1.02M","2.67%"
"2021년 05월 04일","80.45","80.05","80.96","79.26","123.57K","0.19%"
"2021년 05월 03일","80.30","79.88","80.56","79.70","63.91K","0.61%"
"2021년 04월 30일","79.81","80.81","81.07","79.66","101.36K","-1.55%"
"2021년 04월 29일","81.07","81.48","82.00","80.05","77.40K","-0.21%"
"2021년 04월 28일","81.24","81.07","81.33","80.70","106.21K","0.63%"
"2021년 04월 27일","80.73","81.32","81.32","80.21","123.52K","-1.03%"
"2021년 04월 26일","81.57","80.08","81.81","80.08","155.81K","1.86%"
"2021년 04월 23일","80.08","77.68","80.20","77.54","168.28K","4.11%"
"2021년 04월 22일","76.92","78.40","78.40","76.50","120.73K","-3.14%"
"2021년 04월 21일","79.41","76.74","79.41","76.56","262.45K","2.97%"
"2021년 04월 20일","77.12","79.90","79.90","76.36","390.99K","-4.42%"
"2021년 04월 19일","80.69","80.22","81.17","79.92","300.87K","2.69%"
"2021년 04월 16일","78.58","78.86","78.86","78.00","100.08K","0.32%"
"2021년 04월 15일","78.33","79.69","79.69","78.11","189.64K","-0.14%"
"2021년 04월 14일","78.44","77.73","79.19","77.42","211.42K","2.70%"
"2021년 04월 13일","76.38","75.99","76.40","75.56","145.42K","1.17%"
"2021년 04월 12일","75.50","76.62","76.75","75.15","225.30K","-2.49%"
"2021년 04월 09일","77.43","77.57","77.70","76.84","88.02K","-0.18%"
"2021년 04월 08일","77.57","77.96","78.00","77.02","135.61K","0.14%"
"2021년 04월 07일","77.46","78.01","78.63","77.34","140.03K","0.69%"
"2021년 04월 06일","76.93","76.65","77.30","76.64","116.30K","0.38%"
"2021년 04월 05일","76.64","77.88","77.88","76.25","234.17K","0.43%"
"2021년 04월 01일","76.31","76.58","76.59","75.73","178.34K","1.76%"
"2021년 03월 31일","74.99","74.81","75.37","74.27","204.43K","0.92%"
"2021년 03월 30일","74.31","73.22","74.31","72.20","255.71K","2.94%"
"2021년 03월 29일","72.19","73.00","73.29","72.03","116.28K","-1.35%"
"2021년 03월 26일","73.18","71.84","73.18","71.84","247.95K","5.13%"
"2021년 03월 25일","69.61","67.26","69.75","67.01","228.66K","2.19%"
"2021년 03월 24일","68.12","70.13","70.20","68.01","350.02K","-3.28%"
"2021년 03월 23일","70.43","75.40","75.40","70.33","571.50K","-8.31%"
"2021년 03월 22일","76.81","77.26","77.40","76.26","124.39K","-0.44%"
"2021년 03월 19일","77.15","77.25","77.68","76.16","236.18K","-0.10%"
"2021년 03월 18일","77.23","78.70","79.00","77.01","200.69K","-2.79%"
"2021년 03월 17일","79.45","77.69","79.83","77.32","198.26K","2.19%"
"2021년 03월 16일","77.75","79.80","79.80","77.08","220.01K","-3.36%"
"2021년 03월 15일","80.45","81.22","81.37","79.80","296.70K","0.07%"
"2021년 03월 12일","80.39","80.28","80.45","78.26","199.34K","-0.78%"
"2021년 03월 11일","81.02","78.76","81.20","78.10","383.00K","8.00%"
"2021년 03월 10일","75.02","77.19","77.25","74.60","478.14K","-3.19%"
"2021년 03월 09일","77.49","75.18","78.32","74.90","581.84K","3.42%"
"2021년 03월 08일","74.93","76.45","76.45","73.01","725.98K","-2.74%"
"2021년 03월 05일","77.04","79.53","79.76","72.52","808.23K","-2.92%"
"2021년 03월 04일","79.36","84.40","84.40","78.34","672.39K","-7.05%"
"2021년 03월 03일","85.38","87.70","87.70","85.34","278.26K","0.27%"
"2021년 03월 02일","85.15","86.02","86.08","84.95","270.10K","-3.10%"
"2021년 03월 01일","87.87","86.72","88.22","86.65","535.55K","5.51%"
"2021년 02월 26일","83.28","82.50","84.39","80.78","582.15K","0.95%"
"2021년 02월 25일","82.50","89.40","89.40","82.50","659.06K","-9.13%"
"2021년 02월 24일","90.79","87.25","90.95","86.90","493.20K","1.40%"
"2021년 02월 23일","89.54","89.04","89.54","83.02","784.35K","-4.06%"
"2021년 02월 22일","93.33","92.05","93.84","91.90","717.11K","2.74%"
"2021년 02월 19일","90.84","90.60","91.17","89.77","559.89K","2.41%"
"2021년 02월 18일","88.70","90.89","90.89","88.06","516.62K","-3.90%"
"2021년 02월 17일","92.30","92.60","92.99","91.00","823.32K","1.55%"
"2021년 02월 16일","90.89","88.00","91.04","87.30","800.77K","7.09%"
"2021년 02월 12일","84.87","84.07","84.97","83.71","134.54K","1.24%"
"2021년 02월 11일","83.83","84.90","84.91","82.75","128.43K","-0.18%"
"2021년 02월 10일","83.98","84.69","85.55","82.80","316.68K","0.80%"
"2021년 02월 09일","83.31","82.78","85.25","82.40","452.54K","2.20%"
"2021년 02월 08일","81.52","78.40","81.88","78.40","337.31K","6.70%"
"2021년 02월 05일","76.40","76.97","76.99","75.85","329.78K","-3.72%"
"2021년 02월 04일","79.35","80.13","80.47","78.70","192.01K","-2.51%"
"2021년 02월 03일","81.39","81.16","82.17","80.94","326.21K","2.17%"
"2021년 02월 02일","79.66","79.06","79.72","78.50","372.19K","3.99%"
"2021년 02월 01일","76.60","75.11","76.87","74.86","395.65K","3.25%"
"2021년 01월 29일","74.19","76.93","76.93","73.69","411.29K","-4.26%"
"2021년 01월 28일","77.49","77.29","77.68","76.23","397.50K","-1.75%"
"2021년 01월 27일","78.87","81.24","81.24","78.20","337.85K","-4.57%"
"2021년 01월 26일","82.65","82.98","83.40","82.51","182.96K","-0.18%"
"2021년 01월 25일","82.80","83.00","83.72","82.00","317.90K","1.95%"
"2021년 01월 22일","81.22","82.18","82.21","80.50","414.24K","-1.73%"
"2021년 01월 21일","82.65","81.30","82.70","80.95","459.89K","5.72%"
"2021년 01월 20일","78.18","78.20","78.58","77.42","493.52K","3.98%"
"2021년 01월 19일","75.19","73.98","75.40","73.16","387.10K","3.88%"
"2021년 01월 15일","72.38","74.15","74.32","72.03","258.43K","-3.14%"
"2021년 01월 14일","74.73","75.00","75.29","74.61","197.47K","-0.17%"
"2021년 01월 13일","74.86","74.39","75.44","74.14","254.76K","0.58%"
"2021년 01월 12일","74.43","73.91","74.57","72.88","158.99K","1.09%"
"2021년 01월 11일","73.63","72.87","73.88","72.15","211.23K","-2.37%"
"2021년 01월 08일","75.42","79.00","79.67","74.31","532.86K","-2.91%"
"2021년 01월 07일","77.68","75.52","78.00","75.52","342.68K","6.84%"
"2021년 01월 06일","72.71","74.20","74.98","72.59","378.38K","-1.33%"
"2021년 01월 05일","73.69","70.00","73.89","70.00","519.92K","7.36%"
"2021년 01월 04일","68.64","68.43","69.32","68.14","416.22K","4.28%"
"2020년 12월 31일","65.82","65.57","65.95","65.20","183.75K","1.79%"
"2020년 12월 30일","64.66","63.15","64.90","63.15","211.47K","3.99%"
"2020년 12월 29일","62.18","64.20","64.20","61.80","407.03K","-4.89%"
"2020년 12월 28일","65.38","65.11","65.79","64.74","319.74K","4.04%"
"2020년 12월 24일","62.84","63.13","63.26","62.60","105.21K","0.45%"
"2020년 12월 23일","62.56","62.02","62.75","61.84","119.42K","1.94%"
"2020년 12월 22일","61.37","61.43","61.87","60.72","235.35K","-1.05%"
"2020년 12월 21일","62.02","60.29","62.07","60.25","321.85K","2.53%"
"2020년 12월 18일","60.49","59.87","60.84","59.54","256.36K","2.51%"
"2020년 12월 17일","59.01","59.03","59.50","58.50","212.04K","2.41%"
"2020년 12월 16일","57.62","57.75","57.76","57.19","144.46K","-0.29%"
"2020년 12월 15일","57.79","56.94","57.88","56.94","138.79K","1.83%"
"2020년 12월 14일","56.75","57.97","58.17","56.74","121.82K","0.35%"
"2020년 12월 11일","56.55","57.10","57.34","56.33","309.02K","-1.14%"
"2020년 12월 10일","57.20","56.83","57.40","56.56","135.28K","-0.49%"
"2020년 12월 09일","57.48","59.24","59.24","57.11","323.85K","-3.02%"
"2020년 12월 08일","59.27","58.05","59.31","58.05","140.34K","2.51%"
"2020년 12월 07일","57.82","57.85","57.94","57.22","159.33K","1.28%"
"2020년 12월 04일","57.09","56.40","57.17","56.40","89.98K","2.55%"
"2020년 12월 03일","55.67","55.62","56.00","55.59","49.44K","0.40%"
"2020년 12월 02일","55.45","55.05","55.49","54.83","111.59K","-0.34%"
"2020년 12월 01일","55.64","55.71","56.23","55.29","123.59K","0.94%"
"2020년 11월 30일","55.12","55.74","56.02","55.01","78.98K","-1.75%"
"2020년 11월 27일","56.10","55.30","56.29","55.07","110.06K","2.28%"
"2020년 11월 25일","54.85","55.78","55.78","54.33","167.35K","-1.61%"
"2020년 11월 24일","55.75","55.27","55.90","55.17","159.39K","2.33%"
"2020년 11월 23일","54.48","53.93","54.64","53.93","180.86K","4.63%"
"2020년 11월 20일","52.07","51.51","52.20","51.31","150.11K","2.10%"
"2020년 11월 19일","51.00","50.64","51.00","50.56","113.69K","0.63%"
"2020년 11월 18일","50.68","51.34","51.74","50.54","84.35K","-0.53%"
"2020년 11월 17일","50.95","50.80","51.27","50.49","207.49K","0.47%"
"2020년 11월 16일","50.71","49.36","50.81","49.16","283.66K","5.04%"
"2020년 11월 13일","48.28","47.20","48.33","47.20","141.12K","3.37%"
"2020년 11월 12일","46.70","46.70","47.30","46.50","98.41K","0.18%"
"2020년 11월 11일","46.62","46.71","46.80","45.74","119.18K","0.16%"
