,Date,REMX
393,21/10/18,114.2
394,21/10/19,115.23
395,21/10/20,116.41
396,21/10/21,115.31
397,21/10/22,113.34
398,21/10/25,118.34
399,21/10/26,117.77
400,21/10/27,115.07
401,21/10/28,115.35
402,21/10/29,118.17
403,21/11/01,117.17
404,21/11/02,114.63
405,21/11/03,116.3
406,21/11/04,118.21
407,21/11/05,118.96
408,21/11/08,123.23
409,21/11/09,121.11
410,21/11/10,116.01
411,21/11/11,118.9
412,21/11/12,119.85
413,21/11/15,117.87
414,21/11/16,114.67
415,21/11/17,116.07
416,21/11/18,115.92
417,21/11/19,117.4
418,21/11/22,119.72
419,21/11/23,119.01
420,21/11/24,123.94
421,21/11/26,120.27
422,21/11/29,124.63
423,21/11/30,122.87
424,21/12/01,119.4
425,21/12/02,120.51
426,21/12/03,114.94
427,21/12/06,114.79
428,21/12/07,115.24
429,21/12/08,118.72
430,21/12/09,116.04
431,21/12/10,118.81
432,21/12/13,115.13
433,21/12/14,113.89
434,21/12/15,114.38
435,21/12/16,113.35
436,21/12/17,113.21
437,21/12/20,103.39
438,21/12/21,104.65
439,21/12/22,106.95
440,21/12/23,107.47
441,21/12/27,108.52
442,21/12/28,108.46
443,21/12/29,110.66
444,21/12/30,111.88
445,21/12/31,112.19
446,22/01/03,113.08
447,22/01/04,116.96
448,22/01/05,112.19
449,22/01/06,110.92
450,22/01/07,109.77
451,22/01/10,108.75
452,22/01/11,112.86
453,22/01/12,116.96
454,22/01/13,114.02
455,22/01/14,115.0
456,22/01/18,112.19
457,22/01/19,110.59
458,22/01/20,109.95
459,22/01/21,104.7
460,22/01/24,103.64
461,22/01/25,101.93
462,22/01/26,101.27
463,22/01/27,97.9
464,22/01/28,97.11
465,22/01/31,101.59
466,22/02/01,103.77
467,22/02/02,104.02
468,22/02/03,99.02
469,22/02/04,101.42
470,22/02/07,102.68
471,22/02/08,104.42
472,22/02/09,108.72
473,22/02/10,108.01
474,22/02/11,105.17
475,22/02/14,102.67
476,22/02/15,106.75
477,22/02/16,110.03
