Date,USD/KRW
2021-09-13,1172.83
2021-09-14,1172.23
2021-09-15,1166.23
2021-09-16,1175.19
2021-09-17,1180.69
2021-09-20,1185.67
2021-09-21,1183.96
2021-09-22,1181.75
2021-09-23,1174.63
2021-09-24,1179.68
2021-09-27,1177.94
2021-09-28,1187.16
2021-09-29,1187.11
2021-09-30,1184.23
2021-10-01,1180.35
2021-10-04,1184.12
2021-10-05,1186.48
2021-10-06,1190.21
2021-10-07,1190.88
2021-10-08,1196.79
2021-10-11,1195.3
2021-10-12,1197.29
2021-10-13,1186.18
2021-10-14,1181.69
2021-10-15,1182.07
2021-10-18,1185.47
2021-10-19,1175.13
2021-10-20,1175.63
2021-10-21,1177.78
2021-10-22,1177.48
2021-10-25,1168.02
2021-10-26,1167.95
2021-10-27,1172.05
2021-10-28,1168.44
2021-10-29,1174.47
2021-11-01,1177.45
2021-11-02,1178.48
2021-11-03,1178.78
2021-11-04,1185.75
2021-11-05,1181.05
2021-11-08,1180.84
2021-11-09,1178.4
2021-11-10,1185.04
2021-11-11,1182.39
2021-11-12,1179.2
2021-11-15,1183.42
2021-11-16,1183.85
2021-11-17,1180.46
2021-11-18,1182.37
2021-11-19,1187.1
2021-11-22,1190.08
2021-11-23,1189.08
2021-11-24,1188.77
2021-11-25,1190.16
2021-11-26,1194.43
2021-11-29,1190.69
2021-11-30,1182.71
2021-12-01,1176.93
2021-12-02,1176.74
2021-12-03,1181.0
2021-12-06,1180.54
2021-12-07,1176.73
2021-12-08,1175.19
2021-12-09,1178.15
2021-12-10,1180.86
2021-12-13,1184.91
2021-12-14,1185.19
2021-12-15,1184.57
2021-12-16,1186.29
2021-12-17,1187.7
2021-12-20,1189.53
2021-12-21,1190.67
2021-12-22,1190.21
2021-12-23,1185.55
2021-12-24,1185.99
2021-12-27,1185.61
2021-12-28,1188.09
2021-12-29,1184.7
2021-12-30,1189.36
2021-12-31,1187.96
2022-01-03,1193.0
2022-01-04,1197.49
2022-01-05,1198.2
2022-01-06,1204.95
2022-01-07,1197.63
2022-01-10,1198.04
2022-01-11,1192.31
2022-01-12,1185.87
2022-01-13,1186.11
2022-01-14,1190.07
2022-01-17,1189.99
2022-01-18,1192.69
2022-01-19,1188.13
2022-01-20,1192.42
2022-01-21,1192.51
2022-01-24,1195.59
2022-01-25,1196.35
2022-01-26,1197.03
2022-01-27,1203.77
2022-01-28,1209.56
2022-01-31,1204.63
2022-02-01,1202.31
2022-02-02,1199.46
2022-02-03,1199.47
2022-02-04,1198.25
2022-02-07,1196.87
2022-02-08,1196.35
2022-02-09,1194.05
2022-02-10,1199.83
2022-02-11,1199.48
2022-02-14,1197.32
2022-02-15,1196.76
2022-02-16,1196.53
2022-02-17,1198.63
2022-02-18,1195.59
2022-02-21,1193.68
2022-02-22,1191.9
2022-02-23,1192.44
2022-02-24,1206.05
2022-02-25,1197.57
2022-02-28,1200.12
2022-03-01,1205.32
2022-03-02,1203.16
2022-03-03,1205.54
2022-03-04,1217.45
2022-03-07,1232.14
2022-03-08,1233.53
2022-03-09,1223.13
2022-03-10,1228.83
2022-03-11,1237.08
2022-03-14,1240.64
2022-03-15,1240.62
2022-03-16,1225.35
2022-03-17,1209.89
2022-03-18,1211.15
2022-03-21,1217.55
2022-03-22,1215.07
2022-03-23,1218.62
2022-03-24,1219.58
2022-03-25,1225.08
2022-03-28,1223.65
2022-03-29,1207.35
2022-03-30,1210.31
2022-03-31,1214.17
