Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2020-09-15,323.36,2003.1,40.56,115.54,85.85,1179.76,74450
2020-09-16,322.31,2007.4,40.63,112.13,83.13,1172.88,74100
2020-09-17,318.0,1985.7,41.09,110.34,81.91,1169.2,73440
2020-09-18,318.39,1998.0,41.78,106.84,80.23,1164.81,72870
2020-09-22,308.82,1943.6,39.87,111.81,80.48,1163.61,71310
2020-09-23,309.64,1902.8,38.1,107.12,77.92,1170.65,70330
2020-09-24,302.48,1910.6,37.36,108.22,78.38,1169.1,69830
2020-09-25,303.57,1900.4,37.22,112.28,78.88,1174.32,70520
2020-09-28,307.03,1916.7,37.46,114.96,79.77,1166.85,70100
2020-09-29,309.44,1937.7,37.65,114.09,80.51,1168.73,70670
2020-10-06,314.45,1943.8,39.36,113.16,83.12,1164.37,71310
2020-10-07,317.35,1927.0,40.05,115.08,86.92,1157.26,70390
2020-10-12,319.15,1966.2,41.64,124.4,90.91,1147.79,71090
2020-10-13,319.58,1932.0,41.08,121.1,89.64,1148.3,70690
2020-10-14,316.57,1945.5,41.17,121.19,88.6,1147.14,69980
2020-10-16,311.83,1943.9,40.71,119.02,86.7,1142.13,70220
2020-10-19,312.59,1948.7,41.11,115.98,87.56,1140.06,70110
2020-10-20,314.71,1952.0,41.45,117.51,88.26,1138.39,69690
2020-10-21,315.76,1966.0,41.5,116.87,87.64,1132.54,69880
2020-10-22,313.77,1941.6,41.29,115.75,88.21,1134.74,69850
2020-10-23,314.79,1942.6,41.23,115.04,88.31,1127.95,69370
2020-10-26,313.53,1944.5,40.63,115.05,86.73,1132.44,68840
2020-10-27,311.8,1950.5,41.03,116.6,86.71,1129.21,69070
2020-10-29,309.94,1905.4,40.57,115.32,84.89,1130.06,68540
2020-11-03,312.07,1947.1,42.77,110.44,87.69,1131.32,69010
2020-11-09,325.83,1892.5,46.83,116.32,89.03,1119.06,70140
2020-11-11,331.12,1898.7,46.62,119.49,90.88,1112.39,67180
2020-11-13,333.03,1924.4,48.28,119.26,93.22,1107.62,67430
2020-11-17,339.85,1919.4,50.95,119.39,95.71,1105.38,67140
2020-11-18,339.96,1905.6,50.68,118.03,96.93,1106.17,66710
2020-11-19,340.16,1893.8,51.0,118.64,96.61,1113.59,66770
2020-11-24,350.28,1837.5,55.75,115.17,96.64,1110.24,65410
2020-11-25,348.3,1836.0,54.85,116.03,97.49,1106.21,64400
2020-11-27,352.73,1813.3,56.1,116.59,98.74,1104.43,64190
2020-12-03,361.66,1863.6,55.67,122.94,99.5,1092.08,64600
2020-12-08,363.45,1898.3,59.27,124.38,105.64,1084.86,65180
2020-12-09,371.47,1860.2,57.48,121.78,104.42,1086.48,64940
2020-12-10,369.37,1859.4,57.2,123.24,104.23,1085.55,64250
2020-12-11,372.24,1865.6,56.55,122.41,104.03,1091.67,64370
2020-12-15,370.88,1877.8,57.79,127.88,105.09,1089.43,64630
2020-12-17,372.0,1911.6,59.01,128.7,103.9,1093.01,65740
2020-12-18,371.55,1910.3,60.49,126.65,104.28,1099.39,66530
2020-12-24,379.18,1905.4,62.84,131.97,105.97,1101.59,66530
2020-12-29,381.27,1906.1,62.18,134.87,105.56,1090.97,65920
2021-01-05,406.03,1980.5,73.69,131.01,112.77,1086.42,67890
2021-01-06,402.08,1934.8,72.71,126.6,115.61,1087.93,67880
2021-01-12,427.87,1868.0,74.43,128.8,123.0,1094.48,65750
2021-01-13,430.38,1878.3,74.86,130.89,119.23,1097.12,65470
2021-01-14,429.85,1874.8,74.73,128.91,126.45,1095.88,65090
2021-01-15,420.43,1852.0,72.38,127.14,125.23,1103.27,65350
2021-01-19,421.35,1860.5,75.19,127.83,131.3,1101.44,65180
2021-01-20,424.01,1886.0,78.18,132.03,130.64,1096.35,65570
2021-01-21,430.27,1885.0,82.65,136.87,134.16,1099.88,66100
2021-01-22,427.13,1873.1,81.22,139.07,129.14,1105.41,66000
2021-01-26,426.73,1868.5,82.65,143.16,126.65,1101.02,65990
2021-01-27,423.67,1862.5,78.87,142.06,121.74,1108.38,65670
2021-01-29,404.56,1862.5,74.19,131.96,121.52,1117.64,66390
2021-02-01,415.45,1874.5,76.6,134.14,126.66,1116.51,66960
2021-02-02,421.03,1846.1,79.66,134.99,128.44,1115.37,66690
2021-02-03,425.21,1849.6,81.39,133.94,127.5,1113.46,65850
2021-02-05,423.3,1827.5,76.4,136.76,127.78,1116.77,64930
2021-02-10,419.65,1856.0,83.98,135.39,133.69,1105.48,65590
2021-02-24,407.16,1809.9,90.79,125.35,132.3,1107.27,64690
2021-02-26,409.91,1744.4,83.28,121.26,125.94,1123.89,63710
2021-03-04,414.17,1716.2,79.36,120.13,115.59,1130.87,62090
2021-03-08,408.34,1693.4,74.93,116.36,113.93,1140.83,62140
2021-03-10,403.48,1735.8,75.02,119.98,113.83,1135.91,62970
2021-03-12,416.13,1731.7,80.39,121.03,118.3,1136.0,62340
2021-03-17,414.01,1738.8,79.45,124.76,118.76,1121.21,63070
2021-03-19,412.91,1753.9,77.15,119.99,113.63,1129.12,63300
2021-03-22,412.64,1750.7,76.81,123.39,117.18,1126.0,62870
2021-03-23,408.71,1737.8,70.43,122.54,114.89,1132.9,63130
2021-03-24,407.1,1745.5,68.12,120.09,108.96,1134.9,63090
2021-03-25,408.53,1737.4,69.61,120.59,110.45,1135.12,63220
2021-03-26,412.89,1744.5,73.18,121.21,116.56,1128.52,62770
2021-03-29,412.05,1724.7,72.19,121.39,114.39,1131.56,62840
2021-03-30,416.61,1696.2,74.31,119.9,115.07,1132.59,62110
2021-03-31,415.04,1725.8,74.99,122.15,118.28,1127.17,61400
2021-04-06,425.88,1753.1,76.93,126.21,122.44,1119.17,62410
2021-04-07,426.7,1751.6,77.46,127.9,119.89,1119.03,62520
2021-04-09,424.3,1755.3,77.43,132.99,122.8,1120.98,63010
2021-04-12,424.22,1743.4,75.5,131.24,120.9,1124.32,62950
2021-04-14,430.71,1747.4,78.44,132.03,120.84,1116.08,62720
2021-04-15,432.66,1778.1,78.33,134.5,118.35,1116.68,62710
2021-04-16,432.43,1791.3,78.58,134.16,118.84,1116.5,63280
2021-04-21,426.75,1804.7,79.41,133.5,117.4,1116.35,64260
2021-04-26,432.36,1791.3,81.57,134.72,121.52,1110.27,63550
2021-04-28,427.48,1785.2,81.24,133.58,119.66,1109.88,63290
2021-04-29,426.28,1779.2,81.07,133.48,119.1,1107.63,63400
2021-04-30,422.36,1778.7,79.81,131.46,116.74,1117.16,63390
2021-05-03,420.36,1802.8,80.3,132.54,115.94,1120.34,64280
2021-05-04,423.57,1787.8,80.45,127.85,115.36,1125.77,64470
2021-05-06,426.64,1827.1,82.59,129.74,117.0,1120.28,64960
2021-05-07,428.56,1842.8,84.51,130.21,116.83,1111.23,65570
2021-05-10,435.63,1849.2,85.56,126.85,112.31,1116.68,65710
2021-05-11,428.77,1847.6,83.43,125.91,112.85,1119.58,66080
2021-05-12,421.86,1834.3,79.52,122.77,108.21,1132.73,66260
2021-05-13,416.07,1835.8,77.85,124.97,108.75,1126.73,66090
2021-05-14,420.17,1850.1,78.34,127.45,112.46,1125.79,66530
2021-05-17,418.27,1878.5,79.29,126.27,109.8,1136.73,67630
2021-05-18,423.09,1879.0,80.39,124.85,110.84,1126.93,67920
2021-05-20,421.68,1892.7,78.44,127.31,113.28,1127.66,68230
2021-05-24,420.57,1896.0,78.53,127.1,113.63,1123.48,68240
2021-05-25,424.35,1910.1,78.68,126.9,114.28,1122.36,68010
