일자,종가
2021-09-07,67650
2021-09-06,67980
2021-09-03,67450
2021-09-02,67770
2021-09-01,67550
2021-08-31,67700
2021-08-30,68050
2021-08-27,67800
2021-08-26,67190
2021-08-25,67430
2021-08-24,67590
2021-08-23,67360
2021-08-20,67780
2021-08-19,67320
2021-08-18,67340
2021-08-17,67770
2021-08-13,66080
2021-08-12,65480
2021-08-11,64350
2021-08-10,64170
2021-08-09,64280
2021-08-06,66120
2021-08-05,66550
2021-08-04,66680
2021-08-03,66780
2021-08-02,66920
2021-07-30,67610
2021-07-29,66980
2021-07-28,67000
2021-07-27,66350
2021-07-26,67090
2021-07-23,66880
2021-07-22,66610
2021-07-21,67260
2021-07-20,67210
2021-07-19,66610
2021-07-16,66860
2021-07-15,67240
2021-07-14,66960
2021-07-13,66720
2021-07-12,66370
2021-07-09,66410
2021-07-08,66150
2021-07-07,66020
2021-07-06,65600
2021-07-05,65120
2021-07-02,64880
2021-07-01,64770
2021-06-30,63650
2021-06-29,64400
2021-06-28,64810
2021-06-25,64530
2021-06-24,64830
2021-06-23,65190
2021-06-22,64910
2021-06-21,64860
2021-06-18,64980
2021-06-17,65840
2021-06-16,66850
2021-06-15,67090
2021-06-14,66810
2021-06-11,67910
2021-06-10,67640
2021-06-09,67840
2021-06-08,67960
2021-06-07,67400
2021-06-04,67220
2021-06-03,67900
2021-06-02,67870
2021-06-01,68130
2021-05-31,67990
2021-05-28,67750
2021-05-27,68270
2021-05-26,68430
2021-05-25,68010
2021-05-24,68240
2021-05-21,67880
2021-05-20,68230
2021-05-18,67920
2021-05-17,67630
2021-05-14,66530
2021-05-13,66090
2021-05-12,66260
2021-05-11,66080
2021-05-10,65710
2021-05-07,65570
2021-05-06,64960
2021-05-04,64470
2021-05-03,64280
2021-04-30,63390
2021-04-29,63400
2021-04-28,63290
2021-04-27,63570
2021-04-26,63550
2021-04-23,64110
2021-04-22,64330
2021-04-21,64260
2021-04-20,63220
2021-04-19,63910
2021-04-16,63280
2021-04-15,62710
2021-04-14,62720
2021-04-13,62450
2021-04-12,62950
2021-04-09,63010
2021-04-08,62600
2021-04-07,62520
2021-04-06,62410
2021-04-05,62580
2021-04-02,62730
2021-04-01,62480
2021-03-31,61400
2021-03-30,62110
2021-03-29,62840
2021-03-26,62770
2021-03-25,63220
2021-03-24,63090
2021-03-23,63130
2021-03-22,62870
2021-03-19,63300
2021-03-18,63270
2021-03-17,63070
2021-03-16,62980
2021-03-15,63020
2021-03-12,62340
2021-03-11,63340
2021-03-10,62970
2021-03-09,62070
2021-03-08,62140
2021-03-05,61420
2021-03-04,62090
2021-03-03,62410
2021-03-02,62190
2021-02-26,63710
2021-02-25,63940
2021-02-24,64690
2021-02-23,64740
2021-02-22,64040
2021-02-19,63030
2021-02-18,63520
2021-02-17,63810
2021-02-16,64500
2021-02-15,64430
2021-02-10,65590
2021-02-09,66040
2021-02-08,65330
2021-02-05,64930
2021-02-04,65560
2021-02-03,65850
2021-02-02,66690
2021-02-01,66960
2021-01-29,66390
2021-01-28,66160
2021-01-27,65670
2021-01-26,65990
2021-01-25,65520
2021-01-22,66000
2021-01-21,66100
2021-01-20,65570
2021-01-19,65180
2021-01-18,65240
2021-01-15,65350
2021-01-14,65090
2021-01-13,65470
2021-01-12,65750
2021-01-11,65050
2021-01-08,66830
2021-01-07,67330
2021-01-06,67880
2021-01-05,67890
2021-01-04,66910
2020-12-30,65740
2020-12-29,65920
2020-12-28,66470
2020-12-24,66530
2020-12-23,66420
2020-12-22,66690
2020-12-21,67500
2020-12-18,66530
2020-12-17,65740
2020-12-16,65340
2020-12-15,64630
2020-12-14,64350
2020-12-11,64370
2020-12-10,64250
2020-12-09,64940
2020-12-08,65180
2020-12-07,64040
2020-12-04,64080
2020-12-03,64600
2020-12-02,64160
2020-12-01,63500
2020-11-30,63070
2020-11-27,64190
2020-11-26,64300
2020-11-25,64400
2020-11-24,65410
2020-11-23,66950
2020-11-20,66900
2020-11-19,66770
2020-11-18,66710
2020-11-17,67140
2020-11-16,67420
2020-11-13,67430
2020-11-12,67050
2020-11-11,67180
2020-11-10,67590
2020-11-09,70140
2020-11-06,69930
2020-11-05,69250
2020-11-04,69400
2020-11-03,69010
2020-11-02,68650
2020-10-30,68280
2020-10-29,68540
2020-10-28,69350
2020-10-27,69070
2020-10-26,68840
2020-10-23,69370
2020-10-22,69850
2020-10-21,69880
2020-10-20,69690
2020-10-19,70110
2020-10-16,70220
2020-10-15,69740
2020-10-14,69980
2020-10-13,70690
2020-10-12,71090
2020-10-08,70200
2020-10-07,70390
2020-10-06,71310
2020-10-05,70810
2020-09-29,70670
2020-09-28,70100
2020-09-25,70520
2020-09-24,69830
2020-09-23,70330
2020-09-22,71310
2020-09-21,72670
2020-09-18,72870
2020-09-17,73440
2020-09-16,74100
2020-09-15,74450
2020-09-14,74020
2020-09-11,74140
2020-09-10,74040
2020-09-09,73630
2020-09-08,73660
2020-09-07,73810
2020-09-04,74010
2020-09-03,73720
2020-09-02,74880
2020-09-01,75540
2020-08-31,75030
2020-08-28,74100
2020-08-27,73970
2020-08-26,73220
2020-08-25,73640
2020-08-24,74020
2020-08-21,74130
2020-08-20,74290
2020-08-19,75530
2020-08-18,76290
2020-08-14,74050
2020-08-13,73580
2020-08-12,72560
2020-08-11,76180
2020-08-10,77480
2020-08-07,78440
2020-08-06,78050
2020-08-05,77600
2020-08-04,75730
2020-08-03,75730
2020-07-31,75570
2020-07-30,75180
2020-07-29,75070
2020-07-28,74590
2020-07-27,74360
2020-07-24,72870
2020-07-23,72130
2020-07-22,71450
2020-07-21,70110
2020-07-20,70040
2020-07-17,69720
2020-07-16,70020
2020-07-15,69760
2020-07-14,69840
2020-07-13,69750
2020-07-10,69600
2020-07-09,69600
2020-07-08,68980
2020-07-07,68590
2020-07-06,68300
2020-07-03,68390
2020-07-02,68190
2020-07-01,69050
2020-06-30,68570
2020-06-29,68320
2020-06-26,67960
2020-06-25,68490
2020-06-24,68110
2020-06-23,68040
2020-06-22,68490
2020-06-19,67340
2020-06-18,67060
2020-06-17,67440
2020-06-16,67010
2020-06-15,67250
2020-06-12,66980
2020-06-11,66580
2020-06-10,65760
2020-06-09,65280
2020-06-08,65580
2020-06-05,66350
2020-06-04,66610
2020-06-03,67400
2020-06-02,68420
2020-06-01,68600
2020-05-29,68500
2020-05-28,68480
2020-05-27,67710
2020-05-26,68720
2020-05-25,69040
2020-05-22,68920
2020-05-21,68790
2020-05-20,69200
2020-05-19,68170
2020-05-18,69840
2020-05-15,68700
2020-05-14,67790
2020-05-13,67040
2020-05-12,66930
2020-05-11,67000
2020-05-08,67340
2020-05-07,66380
2020-05-06,66900
2020-05-04,67350
