Date,Close,Open,High,Low,Volume,Change
2020-07-24,290.66,289.84,292.74,289.42,216210000.0,-0.0058
2020-07-27,293.51,291.03,295.26,290.82,193240000.0,0.0098
2020-07-28,300.13,296.53,301.34,296.38,301280000.0,0.0226
2020-07-29,301.25,300.57,303.51,299.61,264440000.0,0.0037
2020-07-30,301.85,303.13,304.13,301.49,191760000.0,0.002
2020-07-31,299.32,303.69,304.16,298.89,201960000.0,-0.0084
2020-08-03,299.46,299.57,300.33,297.57,179730000.0,0.0005
2020-08-04,303.04,302.5,304.27,301.48,219870000.0,0.012
2020-08-05,306.64,303.94,306.67,302.91,210810000.0,0.011899999999999999
2020-08-06,311.32,307.88,312.84,307.88,254200000.0,0.015300000000000001
2020-08-07,312.57,311.99,314.11,310.0,299120000.0,0.004
2020-08-10,316.77,312.75,317.84,312.08,261180000.0,0.0134
2020-08-11,321.02,317.63,322.64,317.56,297600000.0,0.0134
2020-08-12,322.68,320.31,322.68,317.3,293140000.0,0.0052
2020-08-13,323.33,325.84,326.22,319.66,285740000.0,0.002
2020-08-14,319.24,321.59,322.66,316.28,260399999.99999997,-0.0126
2020-08-18,312.84,319.57,321.69,311.2,247520000.0,-0.02
2020-08-19,313.54,315.96,316.82,313.18,159930000.0,0.0022
2020-08-20,301.59,310.45,312.77,301.15,249740000.0,-0.0381
2020-08-21,306.16,306.17,309.88,303.15,166300000.0,0.0152
2020-08-24,309.33,306.86,310.27,303.39,142210000.0,0.0104
2020-08-25,313.59,312.45,314.14,310.57,197820000.0,0.0138
2020-08-26,314.19,313.61,315.08,309.74,193540000.0,0.0019
2020-08-27,311.38,314.46,315.17,311.37,175570000.0,-0.0089
2020-08-28,312.24,313.86,315.95,311.06,256410000.00000003,0.0028000000000000004
2020-08-31,307.14,315.46,316.11,307.12,312180000.0,-0.0163
2020-09-01,309.81,309.08,311.15,307.63,342810000.0,0.0087
2020-09-02,311.5,311.69,312.92,308.52,337040000.0,0.0055000000000000005
2020-09-03,316.43,314.73,317.46,314.45,342180000.0,0.0158
2020-09-04,312.03,308.25,312.64,308.04,408030000.0,-0.0139
2020-09-07,313.67,312.08,314.44,310.93,264670000.00000003,0.0053
2020-09-08,317.38,316.31,317.43,314.56,227270000.0,0.0118
2020-09-09,313.77,313.54,315.9,312.9,198500000.0,-0.011399999999999999
2020-09-10,316.53,317.92,318.38,315.46,234270000.0,0.0088
2020-09-11,316.45,315.64,316.77,313.2,165160000.0,-0.0003
2020-09-14,320.98,319.83,321.22,318.54,176780000.0,0.0143
2020-09-15,323.36,321.82,323.57,320.54,152450000.0,0.0074
2020-09-16,322.31,323.14,324.19,321.52,146880000.0,-0.0032
2020-09-17,318.0,321.3,322.23,316.92,178300000.0,-0.0134
2020-09-18,318.39,319.2,319.81,316.62,153540000.0,0.0012
2020-09-21,315.89,318.13,320.86,314.78,165860000.0,-0.0079
2020-09-22,308.82,315.53,316.02,307.4,304360000.0,-0.022400000000000003
2020-09-23,309.64,311.5,311.76,303.29,208050000.0,0.0027
2020-09-24,302.48,304.85,306.98,301.95,181250000.0,-0.0231
2020-09-25,303.57,305.38,305.55,301.93,156860000.0,0.0036
2020-09-28,307.03,306.49,308.34,304.64,173180000.0,0.011399999999999999
2020-09-29,309.44,310.01,311.34,308.52,138820000.0,0.0078000000000000005
2020-10-05,313.51,309.65,314.66,309.09,157990000.0,0.0132
2020-10-06,314.45,315.13,316.48,313.03,139890000.0,0.003
2020-10-07,317.35,312.34,317.44,311.82,124430000.0,0.0092
2020-10-08,317.47,320.31,320.38,316.6,168690000.0,0.0004
2020-10-12,319.15,318.99,320.01,317.67,140940000.0,0.0053
2020-10-13,319.58,321.04,321.45,316.98,126740000.0,0.0013
2020-10-14,316.57,319.6,319.88,315.71,129340000.0,-0.009399999999999999
2020-10-15,313.92,315.76,315.89,312.4,124410000.0,-0.0084
2020-10-16,311.83,314.41,315.47,309.67,126440000.0,-0.0067
2020-10-19,312.59,313.43,314.94,312.19,138220000.0,0.0024
2020-10-20,314.71,311.02,314.91,309.95,135680000.0,0.0068000000000000005
2020-10-21,315.76,315.34,316.61,314.16,136810000.0,0.0033
2020-10-22,313.77,313.62,314.29,311.55,140730000.0,-0.0063
2020-10-23,314.79,314.98,315.83,312.31,198020000.0,0.0033
2020-10-26,313.53,315.63,316.78,313.33,170880000.0,-0.004
2020-10-27,311.8,311.5,313.93,310.55,162320000.0,-0.0055000000000000005
2020-10-28,313.17,310.66,313.3,309.44,120210000.0,0.0044
2020-10-29,309.94,308.99,310.56,306.63,139040000.0,-0.0103
2020-10-30,301.6,308.91,309.08,301.58,178910000.0,-0.0269
2020-11-02,305.95,302.67,306.43,301.37,111030000.0,0.0144
2020-11-03,312.07,308.14,312.35,308.01,129000000.0,0.02
2020-11-04,313.83,314.31,315.62,311.37,212320000.0,0.005600000000000001
2020-11-05,321.51,315.74,321.51,315.27,186090000.0,0.0245
2020-11-06,322.1,322.72,324.28,320.61,143960000.0,0.0018
2020-11-09,325.83,325.25,328.02,324.51,276820000.0,0.0116
2020-11-10,326.13,326.33,327.0,323.79,331190000.0,0.0009
2020-11-11,331.12,327.04,331.46,327.01,323230000.0,0.015300000000000001
2020-11-12,329.72,330.57,331.58,328.46,342300000.0,-0.0042
2020-11-13,333.03,329.09,333.15,328.25,291360000.0,0.01
2020-11-16,340.63,335.2,341.15,335.2,465750000.0,0.022799999999999997
2020-11-17,339.85,340.84,342.57,339.06,403200000.0,-0.0023
2020-11-18,339.96,341.07,341.81,338.64,231640000.0,0.0003
2020-11-19,340.16,338.56,340.42,337.51,215100000.0,0.0006
2020-11-20,340.62,339.48,341.71,338.59,179110000.0,0.0014000000000000002
2020-11-23,348.46,341.51,348.94,340.6,380840000.0,0.023
2020-11-24,350.28,350.3,352.55,348.61,295440000.0,0.0052
2020-11-25,348.3,353.05,353.96,346.17,333140000.0,-0.005699999999999999
2020-11-26,352.12,348.66,352.12,346.77,182180000.0,0.011000000000000001
2020-11-27,352.73,351.83,353.19,350.63,178420000.0,0.0017000000000000001
2020-11-30,346.05,354.7,354.78,346.05,339060000.0,-0.0189
2020-12-01,352.4,349.37,353.26,349.07,260000000.0,0.0183
2020-12-02,358.66,354.33,359.15,354.0,220900000.0,0.0178
2020-12-03,361.66,360.36,361.66,358.45,206860000.0,0.0084
2020-12-04,367.63,363.28,369.67,363.23,281110000.0,0.0165
2020-12-07,369.86,368.59,371.51,365.32,221800000.0,0.0060999999999999995
2020-12-08,363.45,369.73,370.11,363.41,192370000.0,-0.0173
2020-12-09,371.47,363.77,371.64,363.77,191950000.0,0.022099999999999998
2020-12-10,369.37,370.74,372.68,365.76,344580000.0,-0.005699999999999999
2020-12-11,372.24,370.45,374.3,370.39,331020000.0,0.0078000000000000005
2020-12-14,371.56,372.14,374.72,370.5,284470000.0,-0.0018
2020-12-15,370.88,371.75,372.64,367.7,243330000.0,-0.0018
2020-12-16,372.53,371.86,374.53,371.03,188950000.0,0.0044
2020-12-17,372.0,372.12,372.6,368.07,244580000.0,-0.0014000000000000002
2020-12-18,371.55,372.02,373.37,370.5,307530000.0,-0.0012
2020-12-21,372.18,371.51,372.44,368.05,252570000.0,0.0017000000000000001
2020-12-22,366.43,371.08,371.91,366.43,291110000.0,-0.0154
2020-12-23,371.32,367.02,371.93,364.72,296020000.0,0.013300000000000001
2020-12-24,379.18,371.67,380.29,371.67,314370000.0,0.0212
2020-12-28,379.93,381.51,383.84,378.44,304330000.0,0.002
2020-12-29,381.27,380.34,382.31,377.04,234720000.0,0.0034999999999999996
2020-12-30,389.29,381.21,390.04,379.14,236860000.0,0.021
2021-01-04,399.88,389.5,400.78,388.88,361890000.0,0.027200000000000002
2021-01-05,406.03,399.79,406.03,396.43,470870000.0,0.0154
2021-01-06,402.08,406.33,411.21,401.06,429080000.0,-0.0097
2021-01-07,410.81,404.0,414.65,403.99,460330000.0,0.0217
