"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 24일","18.40","20.50","20.51","18.38","-","-8.68%"
"2021년 05월 21일","20.15","20.42","20.89","19.53","-","-2.52%"
"2021년 05월 20일","20.67","22.33","23.50","20.19","-","-6.81%"
"2021년 05월 19일","22.18","22.46","25.96","21.88","-","3.94%"
"2021년 05월 18일","21.34","18.89","21.45","18.81","-","8.22%"
"2021년 05월 17일","19.72","19.89","21.58","19.67","-","4.84%"
"2021년 05월 14일","18.81","21.77","22.10","18.66","-","-18.68%"
"2021년 05월 13일","23.13","26.03","28.93","22.23","-","-16.17%"
"2021년 05월 12일","27.59","22.42","28.38","21.66","-","26.33%"
"2021년 05월 11일","21.84","21.17","23.73","20.71","-","11.09%"
"2021년 05월 10일","19.66","17.34","19.75","17.07","-","17.80%"
"2021년 05월 07일","16.69","18.45","18.57","16.68","-","-9.24%"
"2021년 05월 06일","18.39","18.41","20.60","18.21","-","-3.97%"
"2021년 05월 05일","19.15","18.84","19.58","17.89","-","-1.69%"
"2021년 05월 04일","19.48","18.16","21.85","18.11","-","6.39%"
"2021년 05월 03일","18.31","18.65","19.12","17.80","-","-1.61%"
"2021년 04월 30일","18.61","17.67","19.25","17.64","-","5.68%"
"2021년 04월 29일","17.61","16.88","18.87","16.77","-","1.91%"
"2021년 04월 28일","17.28","17.47","17.84","16.67","-","-1.59%"
"2021년 04월 27일","17.56","17.62","18.16","16.97","-","-0.45%"
"2021년 04월 26일","17.64","17.94","18.17","16.87","-","1.79%"
"2021년 04월 23일","17.33","18.56","18.78","16.80","-","-7.38%"
"2021년 04월 22일","18.71","17.28","19.90","16.99","-","6.91%"
"2021년 04월 21일","17.50","18.48","19.29","16.91","-","-6.32%"
"2021년 04월 20일","18.68","17.36","19.70","17.24","-","8.04%"
"2021년 04월 19일","17.29","17.04","18.61","16.78","-","6.40%"
"2021년 04월 16일","16.25","16.65","16.88","16.05","-","-1.93%"
"2021년 04월 15일","16.57","16.78","16.92","15.94","-","-2.47%"
"2021년 04월 14일","16.99","16.71","17.69","15.38","-","2.04%"
"2021년 04월 13일","16.65","16.99","17.86","16.43","-","-1.54%"
"2021년 04월 12일","16.91","17.43","17.91","16.81","-","1.32%"
"2021년 04월 09일","16.69","17.05","17.34","16.20","-","-1.53%"
"2021년 04월 08일","16.95","16.92","17.36","16.55","-","-1.22%"
"2021년 04월 07일","17.16","17.99","18.17","16.87","-","-5.30%"
"2021년 04월 06일","18.12","18.07","18.30","17.37","-","1.17%"
"2021년 04월 05일","17.91","18.16","18.40","17.35","-","3.35%"
"2021년 04월 02일","17.33","17.33","17.33","17.33","-","0.00%"
"2021년 04월 01일","17.33","18.60","18.64","17.29","-","-10.67%"
