Date,ETF,WTI,ExchangeRate,Gold,Pork,ITA
2021-01-08,9710,52.24,1092.0,66830,2100.0,93.32
2021-01-11,9635,52.25,1097.2,65050,2109.0,93.37
2021-01-12,9620,53.21,1099.5,65750,2107.0,94.96
2021-01-13,10220,52.91,1097.0,65470,2116.0,94.62
2021-01-14,10105,53.57,1098.0,65090,2093.0,96.25
2021-01-15,10190,52.36,1100.0,65350,2092.0,94.3
2021-01-19,10180,52.98,1104.0,65180,2100.0,95.25
2021-01-20,9955,53.24,1102.0,65570,2099.0,95.33
2021-01-21,10030,53.13,1100.0,66100,2129.0,93.87
2021-01-22,9840,52.27,1105.5,66000,2122.0,93.95
2021-01-25,9480,52.77,1102.5,65520,2127.0,93.3
2021-01-26,9655,52.61,1106.5,65990,2127.0,92.23
2021-01-27,10100,52.85,1105.0,65670,2127.0,89.95
2021-01-28,9975,52.34,1119.0,66160,2078.0,90.81
2021-01-29,10000,52.2,1118.0,66390,2082.0,89.08
2021-02-01,10205,53.55,1119.0,66960,2097.0,90.61
2021-02-02,10060,54.76,1116.5,66690,2093.0,93.12
2021-02-03,9910,55.69,1115.0,65850,2084.0,94.5
2021-02-04,10100,56.23,1118.0,65560,2089.0,96.36
2021-02-05,10045,56.85,1123.0,64930,2089.0,95.99
2021-02-08,10065,57.97,1121.0,65330,2075.0,97.4
2021-02-09,10290,58.36,1115.0,66040,2074.0,98.23
2021-02-10,10180,58.68,1105.5,65590,2069.0,97.62
2021-02-16,10085,60.05,1102.5,64500,2100.0,97.65
2021-02-17,10195,61.14,1106.5,63810,2099.0,98.1
2021-02-18,10065,60.52,1107.5,63520,2093.0,96.8
2021-02-19,10070,59.24,1104.5,63030,2071.0,99.01
2021-02-22,10075,61.49,1112.5,64040,2088.0,97.99
2021-02-23,10300,61.67,1113.5,64740,2070.0,98.09
2021-02-24,10260,63.22,1107.0,64690,2073.0,101.27
2021-02-25,10380,63.53,1111.5,63940,1993.0,97.38
2021-02-26,10170,61.5,1128.5,63710,1987.0,95.61
2021-03-02,9970,59.75,1124.5,62190,1885.0,98.46
2021-03-03,10110,61.28,1122.5,62410,1874.0,98.78
2021-03-04,10090,63.83,1125.0,62090,1993.0,96.92
2021-03-05,10070,66.09,1129.0,61420,1988.0,98.05
2021-03-08,10295,65.05,1138.5,62140,1872.0,98.4
2021-03-09,10185,64.01,1137.0,62070,1873.0,98.57
2021-03-10,10110,64.44,1142.5,62970,1863.0,101.27
2021-03-11,10055,66.02,1131.0,63340,2085.0,102.71
2021-03-12,10010,65.61,1135.5,62340,2102.0,105.56
2021-03-15,9970,65.39,1134.0,63020,2098.0,106.06
2021-03-16,10125,64.8,1130.0,62980,2095.0,103.88
2021-03-17,10180,64.6,1131.0,63070,2083.0,105.81
2021-03-18,10125,60.0,1125.0,63270,2079.0,104.14
2021-03-19,10005,61.42,1129.5,63300,2074.0,103.97
2021-03-22,10075,61.55,1127.5,62870,2092.0,103.12
2021-03-23,10045,57.76,1130.5,63130,2090.0,100.37
2021-03-24,10080,61.18,1131.5,63090,2092.0,100.25
2021-03-25,10045,58.56,1136.1,63220,2124.0,102.28
2021-03-26,9985,60.97,1131.5,62770,2124.0,102.64
2021-03-29,9950,61.56,1133.5,62840,2151.0,103.18
2021-03-30,9880,60.55,1134.5,62110,2157.0,103.84
2021-03-31,9735,59.16,1129.5,61400,2163.0,104.11
