Date,Open,High,Low,Close,Volume,Change
2022-01-14,11295,11300,11160,11200,4723,-0.011473962930273585
2022-01-17,11335,11360,11210,11300,6798,0.008928571428571397
2022-01-18,11340,11360,11180,11200,10743,-0.008849557522123908
2022-01-19,11320,11450,11250,11430,9340,0.020535714285714324
2022-01-20,11680,11680,11550,11650,23562,0.01924759405074372
2022-01-21,11685,11690,11605,11610,7366,-0.0034334763948498104
2022-01-24,11690,11785,11585,11755,23679,0.01248923341946595
2022-01-25,11785,11860,11690,11755,14055,0.0
2022-01-26,11895,11915,11700,11735,20561,-0.0017014036580178526
2022-01-27,11745,11800,11725,11760,9108,0.0021303792074989225
2022-01-28,11760,11890,11710,11835,16736,0.0063775510204082675
2022-02-03,11895,11935,11840,11870,18518,0.0029573299535277098
2022-02-04,11875,11945,11870,11900,11699,0.002527379949452291
2022-02-07,11970,12160,11970,12155,19141,0.021428571428571352
2022-02-08,12190,12365,12190,12230,21044,0.006170300287947406
2022-02-09,12305,12305,12085,12210,17853,-0.0016353229762877675
2022-02-10,12310,12400,12310,12380,5793,0.013923013923013983
2022-02-11,12245,12365,12215,12260,16592,-0.009693053311793265
2022-02-14,12500,12580,12285,12575,28897,0.02569331158238164
2022-02-15,12595,12595,12370,12370,18077,-0.016302186878727642
2022-02-16,12295,12295,12095,12200,41240,-0.013742926434923253
2022-02-17,12285,12415,12275,12415,15482,0.017622950819672134
2022-02-18,12550,12550,12350,12395,7323,-0.00161095449053561
2022-02-21,12530,12600,12405,12600,17961,0.01653892698668824
2022-02-22,12665,12840,12635,12760,43388,0.012698412698412653
2022-02-23,12900,13090,12900,13020,28706,0.020376175548589393
2022-02-24,13350,13960,13145,13960,89560,0.07219662058371745
2022-02-25,13700,13700,13440,13675,66804,-0.020415472779369614
2022-02-28,13065,13320,12915,13215,158623,-0.033638025594149856
2022-03-02,14185,14185,13830,14140,121952,0.06999621642073395
2022-03-03,14500,14800,14300,14715,58852,0.040664780763790764
2022-03-04,15195,15695,15020,15300,108110,0.039755351681957096
2022-03-07,16000,17000,15510,15955,182465,0.04281045751633994
2022-03-08,16730,16730,14705,15535,207378,-0.026324036352240676
2022-03-10,14800,14800,14410,14655,121012,-0.05664628258770521
2022-03-11,14430,14740,14430,14700,52290,0.003070624360286489
2022-03-14,14765,14850,14510,14525,129778,-0.011904761904761862
2022-03-15,14525,14525,14375,14470,60044,-0.0037865748709122737
2022-03-16,14490,14745,14490,14740,37622,0.018659295093296446
2022-03-17,14200,14425,14065,14115,104217,-0.04240162822252369
2022-03-18,14310,14625,14310,14585,36978,0.03329791002479632
2022-03-21,14540,14540,14400,14505,37307,-0.005485087418580781
2022-03-22,14760,15050,14760,15050,51018,0.03757325060324024
2022-03-23,14950,14950,14690,14700,68787,-0.023255813953488413
2022-03-24,14930,14930,14620,14625,64712,-0.005102040816326481
2022-03-25,14510,14610,14510,14535,44266,-0.006153846153846176
2022-03-28,14755,14755,14450,14470,59582,-0.004471964224286196
2022-03-29,14205,14350,14185,14350,66300,-0.008293020041465149
2022-03-30,14010,14095,13880,14020,75184,-0.022996515679442497
2022-03-31,14060,14235,14060,14235,28898,0.015335235378031387
